dia;dia_semana;fim_semana;cclothes;eating;mcoffe;mhotfood;toileting;whandface
1;0;0;1319,0;4407,0;1600,0;2684,0;2840,0;2971,0
2;1;0;1242,0;7409,0;2122,0;4710,0;1937,0;2659,0
3;2;0;1513,0;3845,0;1157,0;6173,0;2800,0;2359,0
4;3;0;959,0;7010,0;1400,0;5820,0;2401,0;2862,0
5;4;0;947,0;8027,0;846,0;5823,0;1429,0;1066,0
6;5;1;918,0;8370,0;1543,0;4140,0;1068,0;2295,0
7;6;1;900,0;8456,0;1506,0;5268,0;2082,0;2556,0
8;0;0;898,0;5085,0;1641,0;2533,0;2121,0;2662,0
9;1;0;877,0;7830,0;825,0;5433,0;2615,0;2133,0
10;2;0;1107,0;4604,0;860,0;4755,0;1373,0;1615,0
11;3;0;1825,0;5026,0;1274,0;3122,0;1652,0;1661,0
12;4;0;394,0;7912,0;586,0;6055,0;2533,0;2769,0
13;5;1;1346,0;7297,0;821,0;4535,0;1032,0;1458,0
14;6;1;1187,0;7075,0;759,0;6387,0;1556,0;1787,0
15;0;0;1208,0;4842,0;805,0;2105,0;2230,0;1058,0
16;1;0;550,0;7634,0;1876,0;5088,0;2341,0;2497,0
17;2;0;1060,0;3131,0;1737,0;6640,0;2462,0;1759,0
18;3;0;1783,0;7733,0;1546,0;5422,0;1408,0;1371,0
19;4;0;950,0;4011,0;1181,0;3047,0;1858,0;2556,0
20;5;1;1622,0;3820,0;1853,0;2828,0;2030,0;1724,0
21;6;1;1654,0;3789,0;831,0;2365,0;410,0;1186,0
22;0;0;1263,0;3829,0;1603,0;5886,0;1374,0;1866,0
23;1;0;1809,0;11148,0;919,0;2664,0;2079,0;2224,0
24;2;0;394,0;8878,0;1212,0;4002,0;2807,0;2569,0
25;3;0;1488,0;8383,0;1200,0;5163,0;1084,0;1362,0
26;4;0;970,0;8189,0;547,0;5021,0;2323,0;1898,0
27;5;1;763,0;8466,0;1331,0;5040,0;976,0;1148,0
28;6;1;1105,0;7869,0;920,0;5303,0;781,0;1552,0
29;0;0;826,0;7503,0;1219,0;5828,0;2220,0;1904,0
30;1;0;1197,0;3805,0;1149,0;3324,0;1994,0;1587,0
31;2;0;888,0;8476,0;1076,0;4584,0;1565,0;2069,0
32;3;0;826,0;8232,0;1028,0;6592,0;1932,0;1574,0
33;4;0;866,0;8686,0;326,0;6264,0;1533,0;1654,0
34;5;1;1617,0;7071,0;1431,0;2449,0;2341,0;1858,0
35;6;1;1163,0;8486,0;358,0;6489,0;778,0;1954,0
36;0;0;931,0;8288,0;1306,0;5252,0;3353,0;2366,0
37;1;0;827,0;6692,0;1765,0;5429,0;3613,0;2436,0
38;2;0;581,0;8477,0;912,0;6036,0;2456,0;3203,0
39;3;0;1337,0;7719,0;1261,0;5946,0;1269,0;1438,0
40;4;0;403,0;3852,0;852,0;3208,0;2064,0;1525,0
41;5;1;2410,0;7604,0;1934,0;5797,0;1831,0;938,0
42;6;1;1472,0;7224,0;837,0;3930,0;1587,0;2546,0
43;0;0;1305,0;4245,0;364,0;5024,0;929,0;1734,0
44;1;0;924,0;7267,0;1878,0;4999,0;2226,0;2844,0
45;2;0;1168,0;4296,0;1972,0;3569,0;2620,0;2691,0
46;3;0;860,0;7307,0;2361,0;4987,0;3664,0;2431,0
47;4;0;1045,0;7043,0;1989,0;4680,0;2249,0;2292,0
48;5;1;2314,0;4323,0;1023,0;3407,0;1956,0;1856,0
49;6;1;637,0;7565,0;1529,0;6347,0;2063,0;2426,0
50;0;0;1510,0;7978,0;1298,0;5011,0;1683,0;1648,0
51;1;0;948,0;7147,0;788,0;5125,0;2273,0;2127,0
52;2;0;1552,0;4722,0;2265,0;3294,0;1161,0;1317,0
53;3;0;958,0;8132,0;390,0;5344,0;3297,0;1848,0
54;4;0;972,0;4116,0;909,0;3042,0;1914,0;1399,0
55;5;1;1589,0;3593,0;802,0;3234,0;1102,0;1731,0
56;6;1;673,0;7603,0;588,0;5238,0;1769,0;1821,0
57;0;0;566,0;6929,0;1009,0;5782,0;874,0;2302,0
